original_probability,new_probability,confidence_diff,original_class,class_change,no_features,nsamples,explainer,time,important_columns,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
1.0,0.9113243,0.08867568,1,False,6,100,shap,0.1846449375152588,75,69,73,70,74,72,76,20,6,1,4
1.0,0.8516771,0.14832288,1,False,7,100,shap,0.17911458015441895,75,69,73,70,74,72,76,20,6,1,4
1.0,0.60231835,0.39768165,1,False,8,100,shap,0.1829366683959961,75,69,73,70,74,72,76,20,6,1,4
1.0,0.48814365,0.5118563,1,True,9,100,shap,0.18387746810913086,75,69,73,70,74,72,76,20,6,1,4
1.0,0.5039494,0.4960506,1,False,10,100,shap,0.18166303634643555,75,69,73,70,74,72,76,20,6,1,4
1.0,1.0,0.0,1,False,0,100,shap,2.919269323348999,71,75,69,70,10,66,74,34,67,8,3
1.0,1.0,0.0,1,False,1,100,shap,0.20042943954467773,71,75,69,70,10,66,74,34,67,8,3
1.0,1.0,0.0,1,False,2,100,shap,0.1919088363647461,71,75,69,70,10,66,74,34,67,8,3
1.0,1.0,0.0,1,False,3,100,shap,0.18751168251037598,71,75,69,70,10,66,74,34,67,8,3
1.0,0.99999976,2.3841858e-07,1,False,4,100,shap,0.20045232772827148,71,75,69,70,10,66,74,34,67,8,3
1.0,0.99999976,2.3841858e-07,1,False,5,100,shap,0.19077539443969727,71,75,69,70,10,66,74,34,67,8,3
1.0,0.99999976,2.3841858e-07,1,False,6,100,shap,0.18238496780395508,71,75,69,70,10,66,74,34,67,8,3
1.0,0.99998987,1.013279e-05,1,False,7,100,shap,0.19793295860290527,71,75,69,70,10,66,74,34,67,8,3
1.0,0.9999907,9.298325e-06,1,False,8,100,shap,0.23041987419128418,71,75,69,70,10,66,74,34,67,8,3
1.0,0.9999752,2.4795532e-05,1,False,9,100,shap,0.2403571605682373,71,75,69,70,10,66,74,34,67,8,3
1.0,0.9999782,2.18153e-05,1,False,10,100,shap,0.25731420516967773,71,75,69,70,10,66,74,34,67,8,3
0.83706194,0.83706194,0.0,1,False,0,100,shap,5.395040273666382,74,70,69,75,1,72,76,6,48,62,55
0.83706194,0.81891704,0.018144906,1,False,1,100,shap,0.5036239624023438,74,70,69,75,1,72,76,6,48,62,55
0.83706194,0.80711293,0.02994901,1,False,2,100,shap,0.34408020973205566,74,70,69,75,1,72,76,6,48,62,55
0.83706194,0.77807754,0.0589844,1,False,3,100,shap,0.3121628761291504,74,70,69,75,1,72,76,6,48,62,55
0.83706194,0.768078,0.06898391,1,False,4,100,shap,0.3042290210723877,74,70,69,75,1,72,76,6,48,62,55
0.83706194,0.756075,0.08098692,1,False,5,100,shap,0.34607410430908203,74,70,69,75,1,72,76,6,48,62,55
0.83706194,0.7517487,0.08531326,1,False,6,100,shap,0.3131873607635498,74,70,69,75,1,72,76,6,48,62,55
0.83706194,0.7402325,0.096829414,1,False,7,100,shap,0.29816699028015137,74,70,69,75,1,72,76,6,48,62,55
0.83706194,0.7243833,0.11267865,1,False,8,100,shap,0.30123281478881836,74,70,69,75,1,72,76,6,48,62,55
0.83706194,0.7253369,0.11172503,1,False,9,100,shap,0.3298006057739258,74,70,69,75,1,72,76,6,48,62,55
0.83706194,0.72491,0.11215192,1,False,10,100,shap,0.30817580223083496,74,70,69,75,1,72,76,6,48,62,55
0.8464259,0.8464259,0.0,1,False,0,100,shap,3.8301308155059814,75,73,19,69,72,1,76,74,5,24,48
0.8464259,0.8299467,0.016479194,1,False,1,100,shap,0.3141598701477051,75,73,19,69,72,1,76,74,5,24,48
0.8464259,0.8097133,0.036712587,1,False,2,100,shap,0.3211653232574463,75,73,19,69,72,1,76,74,5,24,48
0.8464259,0.7842121,0.06221378,1,False,3,100,shap,0.30817604064941406,75,73,19,69,72,1,76,74,5,24,48
0.8464259,0.6532888,0.19313711,1,False,4,100,shap,0.264315128326416,75,73,19,69,72,1,76,74,5,24,48
0.8464259,0.6355701,0.21085578,1,False,5,100,shap,0.2812478542327881,75,73,19,69,72,1,76,74,5,24,48
0.8464259,0.6420142,0.20441169,1,False,6,100,shap,0.2732691764831543,75,73,19,69,72,1,76,74,5,24,48
0.8464259,0.43594006,0.41048583,1,True,7,100,shap,0.27725911140441895,75,73,19,69,72,1,76,74,5,24,48
0.8464259,0.47994706,0.36647883,1,True,8,100,shap,0.4159126281738281,75,73,19,69,72,1,76,74,5,24,48
0.8464259,0.4795319,0.36689398,1,True,9,100,shap,0.45079612731933594,75,73,19,69,72,1,76,74,5,24,48
0.8464259,0.48743045,0.35899544,1,True,10,100,shap,0.27166295051574707,75,73,19,69,72,1,76,74,5,24,48
0.8345796,0.8345796,0.0,1,False,0,100,shap,3.718174934387207,6,75,5,48,3,70,43,49,34,1,14
0.8345796,0.81964767,0.014931917,1,False,1,100,shap,0.25830745697021484,6,75,5,48,3,70,43,49,34,1,14
0.8345796,0.76977336,0.06480622,1,False,2,100,shap,0.2313823699951172,6,75,5,48,3,70,43,49,34,1,14
0.8345796,0.7683132,0.06626636,1,False,3,100,shap,0.21875,6,75,5,48,3,70,43,49,34,1,14
0.8345796,0.77107227,0.06350732,1,False,4,100,shap,0.23766827583312988,6,75,5,48,3,70,43,49,34,1,14
0.8345796,0.7487815,0.085798085,1,False,5,100,shap,0.2547893524169922,6,75,5,48,3,70,43,49,34,1,14
0.8345796,0.7374616,0.09711796,1,False,6,100,shap,0.21029162406921387,6,75,5,48,3,70,43,49,34,1,14
0.8345796,0.73675007,0.09782952,1,False,7,100,shap,0.19835662841796875,6,75,5,48,3,70,43,49,34,1,14
0.8345796,0.7364949,0.09808469,1,False,8,100,shap,0.20581579208374023,6,75,5,48,3,70,43,49,34,1,14
0.8345796,0.73544437,0.09913522,1,False,9,100,shap,0.19596457481384277,6,75,5,48,3,70,43,49,34,1,14
0.8345796,0.71865296,0.11592662,1,False,10,100,shap,0.18352913856506348,6,75,5,48,3,70,43,49,34,1,14
1.0,1.0,0.0,1,False,0,100,shap,2.6981325149536133,68,75,69,76,73,70,74,72,21,26,22
1.0,1.0,0.0,1,False,1,100,shap,0.20748090744018555,68,75,69,76,73,70,74,72,21,26,22
1.0,1.0,0.0,1,False,2,100,shap,0.1962132453918457,68,75,69,76,73,70,74,72,21,26,22
1.0,0.9999999,1.1920929e-07,1,False,3,100,shap,0.2071831226348877,68,75,69,76,73,70,74,72,21,26,22
1.0,0.9999989,1.0728836e-06,1,False,4,100,shap,0.19799423217773438,68,75,69,76,73,70,74,72,21,26,22
1.0,0.999853,0.00014698505,1,False,5,100,shap,0.23335051536560059,68,75,69,76,73,70,74,72,21,26,22
1.0,0.99409795,0.005902052,1,False,6,100,shap,0.23263263702392578,68,75,69,76,73,70,74,72,21,26,22
1.0,0.91430146,0.085698545,1,False,7,100,shap,0.2031543254852295,68,75,69,76,73,70,74,72,21,26,22
1.0,0.8098488,0.19015121,1,False,8,100,shap,0.1968977451324463,68,75,69,76,73,70,74,72,21,26,22
1.0,0.06946266,0.93053734,1,True,9,100,shap,0.18033981323242188,68,75,69,76,73,70,74,72,21,26,22
1.0,0.07414135,0.9258586,1,True,10,100,shap,0.18008828163146973,68,75,69,76,73,70,74,72,21,26,22
1.0,1.0,0.0,1,False,0,100,shap,2.721341848373413,68,75,69,70,73,76,74,72,64,1,59
1.0,1.0,0.0,1,False,1,100,shap,0.19199156761169434,68,75,69,70,73,76,74,72,64,1,59
1.0,1.0,0.0,1,False,2,100,shap,0.1845383644104004,68,75,69,70,73,76,74,72,64,1,59
1.0,0.9999999,1.1920929e-07,1,False,3,100,shap,0.19264698028564453,68,75,69,70,73,76,74,72,64,1,59
1.0,0.9999902,9.775162e-06,1,False,4,100,shap,0.20240283012390137,68,75,69,70,73,76,74,72,64,1,59
1.0,0.99952936,0.00047063828,1,False,5,100,shap,0.19683623313903809,68,75,69,70,73,76,74,72,64,1,59
1.0,0.9905832,0.009416819,1,False,6,100,shap,0.21503305435180664,68,75,69,70,73,76,74,72,64,1,59
1.0,0.51287085,0.48712915,1,False,7,100,shap,0.19058513641357422,68,75,69,70,73,76,74,72,64,1,59
1.0,0.37288663,0.62711334,1,True,8,100,shap,0.33037447929382324,68,75,69,70,73,76,74,72,64,1,59
1.0,0.37444973,0.62555027,1,True,9,100,shap,0.17861080169677734,68,75,69,70,73,76,74,72,64,1,59
1.0,0.24194239,0.7580576,1,True,10,100,shap,0.17430734634399414,68,75,69,70,73,76,74,72,64,1,59
0.75318754,0.75318754,0.0,1,False,0,100,shap,3.394784688949585,75,70,69,72,74,37,51,5,52,30,48
0.75318754,0.7410113,0.012176216,1,False,1,100,shap,0.24534273147583008,75,70,69,72,74,37,51,5,52,30,48
0.75318754,0.7272495,0.025938034,1,False,2,100,shap,0.2154085636138916,75,70,69,72,74,37,51,5,52,30,48
0.75318754,0.71726584,0.035921693,1,False,3,100,shap,0.19400739669799805,75,70,69,72,74,37,51,5,52,30,48
