original_probability,new_probability,confidence_diff,original_class,class_change,no_features,nsamples,explainer,time,important_columns,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
0.82401824,0.6811821,0.14283615,1,False,9,100,shap,0.17407631874084473,67,0,6,1,3,9,2,53,44,29,33
0.82401824,0.6719947,0.15202355,1,False,10,100,shap,0.17559337615966797,67,0,6,1,3,9,2,53,44,29,33
0.7826124,0.7826124,0.0,1,False,0,100,shap,2.636683464050293,1,48,9,24,28,29,33,26,6,19,63
0.7826124,0.7630902,0.01952219,1,False,1,100,shap,0.19668006896972656,1,48,9,24,28,29,33,26,6,19,63
0.7826124,0.7561518,0.026460588,1,False,2,100,shap,0.18523168563842773,1,48,9,24,28,29,33,26,6,19,63
0.7826124,0.753644,0.028968394,1,False,3,100,shap,0.18032526969909668,1,48,9,24,28,29,33,26,6,19,63
0.7826124,0.7492598,0.033352554,1,False,4,100,shap,0.17664527893066406,1,48,9,24,28,29,33,26,6,19,63
0.7826124,0.744259,0.038353384,1,False,5,100,shap,0.18109440803527832,1,48,9,24,28,29,33,26,6,19,63
0.7826124,0.7391086,0.04350376,1,False,6,100,shap,0.17401862144470215,1,48,9,24,28,29,33,26,6,19,63
0.7826124,0.7334507,0.049161673,1,False,7,100,shap,0.17354822158813477,1,48,9,24,28,29,33,26,6,19,63
0.7826124,0.72710365,0.055508733,1,False,8,100,shap,0.17652535438537598,1,48,9,24,28,29,33,26,6,19,63
0.7826124,0.7178581,0.06475431,1,False,9,100,shap,0.17116665840148926,1,48,9,24,28,29,33,26,6,19,63
0.7826124,0.72483623,0.057776153,1,False,10,100,shap,0.17201972007751465,1,48,9,24,28,29,33,26,6,19,63
0.8087325,0.8087325,0.0,1,False,0,100,shap,2.570000171661377,67,2,48,53,52,26,55,19,15,20,7
0.8087325,0.8021052,0.0066273212,1,False,1,100,shap,0.1934804916381836,67,2,48,53,52,26,55,19,15,20,7
0.8087325,0.7846205,0.024111986,1,False,2,100,shap,0.17642664909362793,67,2,48,53,52,26,55,19,15,20,7
0.8087325,0.7588375,0.04989499,1,False,3,100,shap,0.18335199356079102,67,2,48,53,52,26,55,19,15,20,7
0.8087325,0.7555426,0.053189933,1,False,4,100,shap,0.18007731437683105,67,2,48,53,52,26,55,19,15,20,7
0.8087325,0.7518069,0.056925595,1,False,5,100,shap,0.17404556274414062,67,2,48,53,52,26,55,19,15,20,7
0.8087325,0.7442597,0.064472795,1,False,6,100,shap,0.17528915405273438,67,2,48,53,52,26,55,19,15,20,7
0.8087325,0.73936766,0.069364846,1,False,7,100,shap,0.17560577392578125,67,2,48,53,52,26,55,19,15,20,7
0.8087325,0.7407387,0.06799382,1,False,8,100,shap,0.16961216926574707,67,2,48,53,52,26,55,19,15,20,7
0.8087325,0.7471204,0.06161213,1,False,9,100,shap,0.1691131591796875,67,2,48,53,52,26,55,19,15,20,7
0.8087325,0.74848485,0.06024766,1,False,10,100,shap,0.17212271690368652,67,2,48,53,52,26,55,19,15,20,7
0.77045405,0.77045405,0.0,1,False,0,100,shap,2.566427230834961,48,67,9,28,42,11,3,23,5,56,27
0.77045405,0.7536267,0.016827345,1,False,1,100,shap,0.19829034805297852,48,67,9,28,42,11,3,23,5,56,27
0.77045405,0.729662,0.040792048,1,False,2,100,shap,0.1854839324951172,48,67,9,28,42,11,3,23,5,56,27
0.77045405,0.7000442,0.070409834,1,False,3,100,shap,0.1776437759399414,48,67,9,28,42,11,3,23,5,56,27
0.77045405,0.68890035,0.0815537,1,False,4,100,shap,0.1751260757446289,48,67,9,28,42,11,3,23,5,56,27
0.77045405,0.68754,0.082914054,1,False,5,100,shap,0.1771087646484375,48,67,9,28,42,11,3,23,5,56,27
0.77045405,0.67283076,0.09762329,1,False,6,100,shap,0.17577719688415527,48,67,9,28,42,11,3,23,5,56,27
0.77045405,0.65924853,0.11120552,1,False,7,100,shap,0.16878747940063477,48,67,9,28,42,11,3,23,5,56,27
0.77045405,0.65920603,0.11124802,1,False,8,100,shap,0.16784048080444336,48,67,9,28,42,11,3,23,5,56,27
0.77045405,0.65253156,0.117922485,1,False,9,100,shap,0.17488622665405273,48,67,9,28,42,11,3,23,5,56,27
0.77045405,0.6526535,0.117800534,1,False,10,100,shap,0.3117210865020752,48,67,9,28,42,11,3,23,5,56,27
0.90471834,0.90471834,0.0,1,False,0,100,shap,2.607593059539795,10,9,17,0,21,67,33,14,43,24,28
0.90471834,0.90890443,-0.004186094,1,False,1,100,shap,0.19491052627563477,10,9,17,0,21,67,33,14,43,24,28
0.90471834,0.89581615,0.008902192,1,False,2,100,shap,0.18527936935424805,10,9,17,0,21,67,33,14,43,24,28
0.90471834,0.8961155,0.008602858,1,False,3,100,shap,0.18933653831481934,10,9,17,0,21,67,33,14,43,24,28
0.90471834,0.8769575,0.027760863,1,False,4,100,shap,0.17860031127929688,10,9,17,0,21,67,33,14,43,24,28
0.90471834,0.87164676,0.033071578,1,False,5,100,shap,0.17756009101867676,10,9,17,0,21,67,33,14,43,24,28
0.90471834,0.86717296,0.037545383,1,False,6,100,shap,0.1715552806854248,10,9,17,0,21,67,33,14,43,24,28
0.90471834,0.86426944,0.040448904,1,False,7,100,shap,0.1735215187072754,10,9,17,0,21,67,33,14,43,24,28
0.90471834,0.8653262,0.039392114,1,False,8,100,shap,0.17014122009277344,10,9,17,0,21,67,33,14,43,24,28
0.90471834,0.8650542,0.03966415,1,False,9,100,shap,0.17033863067626953,10,9,17,0,21,67,33,14,43,24,28
