original_probability,new_probability,confidence_diff,original_class,class_change,no_features,nsamples,explainer,time,reverse_order,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
0.6872218,0.67407465,0.013147175,1,False,8,100,shap,0.8710277080535889,True,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.52052927,0.16669255,1,False,9,100,shap,1.094752550125122,False,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.6561357,0.031086147,1,False,9,100,shap,1.1481118202209473,True,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.60731304,0.07990879,1,False,10,100,shap,1.3566441535949707,False,4,12,6,9,1,5,8,28,16,21,29
0.6872218,0.61524457,0.07197726,1,False,10,100,shap,1.3356709480285645,True,4,12,6,9,1,5,8,28,16,21,29
0.6226095,0.62260956,-5.9604645e-08,1,False,0,100,shap,13.26551866531372,False,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.62260956,-5.9604645e-08,1,False,0,100,shap,0.8329246044158936,True,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.54676723,0.07584226,1,False,1,100,shap,0.8669705390930176,False,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.6267437,-0.004134178,1,False,1,100,shap,1.4541125297546387,True,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.47314,0.1494695,1,True,2,100,shap,1.045703411102295,False,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.62649846,-0.0038889647,1,False,2,100,shap,0.7921020984649658,True,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.48115206,0.14145744,1,True,3,100,shap,0.7797849178314209,False,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.6080127,0.01459682,1,False,3,100,shap,0.7747647762298584,True,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.4343435,0.18826601,1,True,4,100,shap,0.9531183242797852,False,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.6147316,0.007877886,1,False,4,100,shap,0.8857851028442383,True,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.41548753,0.20712197,1,True,5,100,shap,1.0991413593292236,False,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.60410005,0.018509448,1,False,5,100,shap,1.6316351890563965,True,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.42495313,0.19765636,1,True,6,100,shap,1.4085750579833984,False,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.61139786,0.011211634,1,False,6,100,shap,1.2432861328125,True,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.42202514,0.20058435,1,True,7,100,shap,1.4284946918487549,False,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.6103039,0.012305617,1,False,7,100,shap,1.4231915473937988,True,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.44736862,0.17524087,1,True,8,100,shap,1.4966771602630615,False,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.5806128,0.041996717,1,False,8,100,shap,1.4418976306915283,True,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.4763783,0.1462312,1,True,9,100,shap,1.3398170471191406,False,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.5664959,0.0561136,1,False,9,100,shap,1.2448365688323975,True,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.46558276,0.15702674,1,True,10,100,shap,1.3139801025390625,False,0,3,1,8,31,19,26,23,13,30,14
0.6226095,0.5825934,0.040016115,1,False,10,100,shap,1.399254322052002,True,0,3,1,8,31,19,26,23,13,30,14
0.3671681,0.36716813,-5.9604645e-08,0,False,0,100,shap,13.285344123840332,False,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.36716813,-5.9604645e-08,0,False,0,100,shap,1.2272303104400635,True,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.53309214,0.16592404,0,True,1,100,shap,1.4592132568359375,False,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.36716813,-5.9604645e-08,0,False,1,100,shap,1.2464594841003418,True,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.58910286,0.22193485,0,True,2,100,shap,1.287071943283081,False,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.36620456,-0.0009636283,0,False,2,100,shap,1.2805399894714355,True,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.619651,0.252483,0,True,3,100,shap,1.248917818069458,False,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.36807257,0.0009045005,0,False,3,100,shap,1.2125654220581055,True,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.58687466,0.2197065,0,True,4,100,shap,1.295954704284668,False,4,1,9,29,0,31,12,19,17,10,3
0.3671681,0.36388543,-0.0032826662,0,False,4,100,shap,1.240705966949463,True,4,1,9,29,0,31,12,19,17,10,3
